param S := 3;
param D := 3;
param N := 5;

param demand: 
        1   2   3  :=
    1   1   2   1
    2   1   1   1
    3   2   1   1  ;
    
param workhours_limit :=
    1   4
    2   6
    3   4
    4   5
    5   8;
    
param vacation:
       1  2  3  4  5  := 
    1  1  0  0  0  0
    2  0  0  0  0  1
    3  0  0  0  0  1  ;
    
param liked:
        1   2   3   4   5  :=
    1   0   0   1   0   0
    2   0   0   0   1   0
    3   0   0   0   0   0
    4  -1   0   0   0   0
    5  -1   0   0   0   0

