param pNumberOfShifts := 3;
param pNumberOfDays := 3;
param pNumberOfNurses := 5;


param pDemand: 
        1   2   3  :=
    1   1   2   1
    2   1   1   1
    3   2   1   1  ;
    
    
param pWorkhoursLimit :=
    1   17
    2   10
    3   24
    4   24
    5   24 ;
    
    
set sVacations :=
     1 1
     3 2;
    
    
set sPreferredCompanions :=
     1 3
     2 4;
    

set sUnpreferredCompanions :=
     4 1
     5 1;


set sPreferredSlots :=
     1 3 1
     2 2 1
     2 1 2
     5 3 2
     3 2 3
     4 2 3;
     
     
set sUnpreferredSlots :=
     1 2 1
     3 1 1
     5 3 1
     2 3 2
     5 2 2
     2 3 3
     4 1 3;
