param S := 3;
param D := 28;
param N := 15;

param demand:   1   2   3:=
			1	4	3	2
			2	3	4	2
			3	3	3	4
			4	4	3	2
			5	3	2	2
			6	3	2	3
			7	2	2	2
			8	4	2	2
			9	2	2	4
			10	3	4	2
			11	4	2	4
			12	2	3	2
			13	2	3	4
			14	2	4	2
			15	2	3	4
			16	4	2	3
			17	3	2	4
			18	3	2	2
			19	3	3	3
			20	2	4	3
			21	3	2	3
			22	3	3	4
			23	3	3	2
			24	4	3	3
			25	3	4	3
			26	3	2	3
			27	2	2	3
			28	2	2	2;

param not_preferred:=
					1	6
					2	11
					3	14
					4	5
					5	10
					6	8
					7	13
					8	3
					9	15
					10	5
					11	6
					12	10
					13	8
					14	6
					15	4;
param preferred:=
				1	7
				2	7
				3	6
				4	9
				5	5
				6	11
				7	9
				8	15
				9	10
				10	4
				11	2
				12	1
				13	6
				14	13
				15	10
				
			
		
